date,headline,snippet,link
19880701,"20 Indicted in Pornography Case","LEAD: Pornography dealers who the authorities say are responsible for mailing most sexually explict material in the country were charged today in Federal indictments with distributing obscene material through the mail.","http://www.nytimes.com/1988/07/02/us/20-indicted-in-pornography-case.html"
19880801,"Lending a Voice","LEAD: The sense of crisis surrounding the savings and loan industry is bubbling up to the attention of some big thinkers who are looking forward to the next administration.","http://www.nytimes.com/1988/08/01/us/washington-talk-briefing-lending-a-voice.html"
19880901,"Mayor Who Pardoned Drunk Drivers Is Removed","LEAD: The 85-year-old Mayor of Florala, Ala., who had proclaimed a week in July as National Voodoo Week and pardoned dozens of drunken drivers, was impeached by a State Circuit Court jury and removed from office today on charges of neglect of duty...","http://www.nytimes.com/1988/09/01/us/mayor-who-pardoned-drunk-drivers-is-removed.html"
19881001,"CANADIANS DECLINE TO LET WOODS BURN","LEAD: While officials in the United States are beset by controversy over the fires that have destroyed more than two million acres of forest in the Western states, including large parts of Yellowstone National Park, the officials who run Canada's...","http://www.nytimes.com/1988/10/02/us/canadians-decline-to-let-woods-burn.html"
19881101,"2 Polls Give Bush Solid Leads","LEAD: Two new public polls today gave Vice President Bush solid leads over Gov. Michael S. Dukakis, and several Democratic poll takers said there was evidence that whatever surge there was toward Mr. Dukakis last weekend had abated.","http://www.nytimes.com/1988/11/02/us/2-polls-give-bush-solid-leads.html"
19881201,"Harvard Awaits Appointment of New Law Dean","LEAD: The search for a new dean at the Harvard Law School has highlighted the deep divisions in the faculty and among the students.","http://www.nytimes.com/1988/12/02/us/the-law-harvard-awaits-appointment-of-new-law-dean.html"
19890101,"For Miami News, 92, It's 'Farewell'","LEAD: What may have been the last issue of The Miami News rolled off the presses this morning, no last-minute deals having been made to keep the city's oldest daily newspaper alive.","http://www.nytimes.com/1989/01/01/us/for-miami-news-92-it-s-farewell.html"
19890201,"Hiring Dispute Imperils Atlanta Stadium Effort","LEAD: An opinion by the State Attorney General challenging the legality of a provision to assure the hiring of minority contractors has thrown a roadblock in front of plans to build a $210 million domed stadium.","http://www.nytimes.com/1989/02/02/us/hiring-dispute-imperils-atlanta-stadium-effort.html"
19890301,"Senate Confirms Sullivan and Watkins","LEAD: Dr. Louis W. Sullivan easily won confirmation today as Secretary of Health and Human Services, with the Senate voting 98 to 1 to place the 55-year-old physician and educator in charge of the Government's largest agency. The Senate then voted 99...","http://www.nytimes.com/1989/03/02/us/senate-confirms-sullivan-and-watkins.html"
19890401,"Valdez Townspeople Angered as Oil Slick Continues to Expand Off Alaska","LEAD: The pent-up anger and frustration of townspeople here spilled over today as an expanding oil slick sent its first tentacle out of Prince William Sound into the Gulf of Alaska.","http://www.nytimes.com/1989/04/01/us/valdez-townspeople-angered-as-oil-slick-continues-to-expand-off-alaska.html"
